transaction_id,date,customer_id,product_id,store_id,quantity,unit_price,discount
T-1000,07/05/2023,CUST-140,P004,ST-2,,37.5,0.2
T-1001,2023-02-02,CUST-170,P004,ST-5,5.0,37.5,0.2
T-1002,2023-08-30,CUST-195,P003,ST-4,4.0,120.0,0.1
T-1003,2023-01-15,CUST-168,P004,ST-3,5.0,37.5,0.0
T-1004,2023-11-18,CUST-133,P001,ST-2,5.0,300.0,0.0
T-1005,2023-10-26,CUST-103,P002,ST-4,3.0,225.0,0.2
T-1006,2023-05-08,CUST-167,P005,ST-3,4.0,67.5,0.0
T-1007,2023-08-13,CUST-163,P001,ST-4,4.0,300.0,0.0
T-1008,2023-04-27,CUST-155,P001,ST-2,5.0,300.0,0.2
T-1009,2023-11-22,CUST-192,P003,ST-1,2.0,120.0,0.1
T-1010,04/09/2023,CUST-180,P003,ST-1,1.0,120.0,0.0
T-1011,2023-02-16,CUST-158,P005,ST-4,1.0,67.5,0.0
T-1012,2023-10-22,CUST-116,P005,ST-2,1.0,67.5,0.2
T-1013,2023-05-04,CUST-172,P002,ST-1,5.0,225.0,0.1
T-1014,2023-07-22,CUST-176,P005,ST-1,3.0,67.5,0.2
T-1015,2023-03-26,CUST-152,P005,ST-1,1.0,67.5,0.0
T-1016,2023-12-25,CUST-121,P003,ST-5,5.0,120.0,0.0
T-1017,2023-02-22,CUST-115,P001,ST-4,1.0,300.0,0.0
T-1018,2023-07-07,CUST-119,P003,ST-3,1.0,120.0,0.0
T-1019,2023-12-10,CUST-196,P005,ST-5,4.0,67.5,0.0
T-1020,03/03/2023,CUST-144,P003,ST-4,5.0,120.0,0.0
T-1021,2023-07-16,CUST-175,P002,ST-2,3.0,225.0,0.1
T-1022,2023-05-27,CUST-126,P001,ST-5,3.0,300.0,0.0
T-1023,2023-10-10,CUST-199,P004,ST-5,1.0,37.5,0.0
T-1024,2023-06-13,CUST-158,P005,ST-5,1.0,67.5,0.0
T-1025,2023-09-30,CUST-147,P003,ST-5,5.0,120.0,0.0
T-1026,2023-01-02,CUST-161,P001,ST-1,2.0,300.0,0.2
T-1027,2023-12-03,CUST-120,P005,ST-3,2.0,67.5,0.0
T-1028,2023-12-21,CUST-122,P003,ST-4,3.0,120.0,0.0
T-1029,2023-03-01,CUST-101,P003,ST-1,5.0,120.0,0.2
T-1030,29/05/2023,CUST-186,P004,ST-3,3.0,37.5,0.0
T-1031,2023-08-21,CUST-103,P005,ST-4,4.0,67.5,0.1
T-1032,2023-07-04,CUST-101,P004,ST-4,3.0,37.5,0.0
T-1033,2023-11-20,CUST-150,P002,ST-2,5.0,225.0,0.0
T-1034,2023-10-17,CUST-182,P002,ST-1,2.0,225.0,0.2
T-1035,2023-11-22,CUST-121,P005,ST-4,1.0,67.5,0.0
T-1036,2023-11-25,CUST-106,P001,ST-4,4.0,300.0,0.0
T-1037,2023-02-24,CUST-118,P004,ST-5,2.0,37.5,0.0
T-1038,2023-04-15,CUST-156,P005,ST-3,3.0,67.5,0.2
T-1039,2023-02-15,CUST-109,P004,ST-1,3.0,37.5,0.0
T-1040,04/01/2023,CUST-158,P004,ST-5,2.0,37.5,0.2
T-1041,2023-06-26,CUST-192,P002,ST-2,2.0,225.0,0.0
T-1042,2023-04-07,CUST-112,P003,ST-2,1.0,120.0,0.0
T-1043,2023-03-27,CUST-101,P001,ST-1,2.0,300.0,0.2
T-1044,2023-04-07,CUST-185,P003,ST-4,3.0,120.0,0.0
T-1045,2023-10-10,CUST-149,P003,ST-5,3.0,120.0,0.0
T-1046,2023-08-18,CUST-148,P003,ST-1,1.0,120.0,0.2
T-1047,2023-10-10,CUST-119,P004,ST-4,5.0,37.5,0.2
T-1048,2023-06-29,CUST-156,P005,ST-4,3.0,67.5,0.2
T-1049,2023-10-20,CUST-101,P005,ST-1,2.0,67.5,0.0
T-1050,15/11/2023,CUST-173,P001,ST-5,,300.0,0.0
T-1051,2023-06-13,CUST-131,P003,ST-5,3.0,120.0,0.0
T-1052,2023-10-18,CUST-182,P004,ST-4,5.0,37.5,0.0
T-1053,2023-02-01,CUST-171,P003,ST-5,1.0,120.0,0.2
T-1054,2023-07-24,CUST-141,P005,ST-3,2.0,67.5,0.2
T-1055,2023-06-26,CUST-191,P004,ST-3,3.0,37.5,0.0
T-1056,2023-10-14,CUST-121,P003,ST-5,1.0,120.0,0.2
T-1057,2023-03-21,CUST-183,P001,ST-4,4.0,300.0,0.0
T-1058,2023-09-06,CUST-115,P003,ST-2,1.0,120.0,0.0
T-1059,2023-03-10,CUST-137,P005,ST-1,4.0,67.5,0.1
T-1060,16/05/2023,CUST-115,P001,ST-5,2.0,300.0,0.1
T-1061,2023-03-22,CUST-145,P005,ST-3,4.0,67.5,0.0
T-1062,2023-01-12,CUST-144,P002,ST-5,2.0,225.0,0.1
T-1063,2023-12-06,CUST-162,P001,ST-3,4.0,300.0,0.0
T-1064,2023-11-06,CUST-174,P002,ST-2,5.0,225.0,0.2
T-1065,2023-03-25,CUST-110,P001,ST-3,5.0,300.0,0.2
T-1066,2023-02-03,CUST-153,P004,ST-1,4.0,37.5,0.1
T-1067,2023-04-24,CUST-181,P004,ST-4,4.0,37.5,0.0
T-1068,2023-05-15,CUST-114,P002,ST-2,2.0,225.0,0.0
T-1069,2023-04-20,CUST-105,P003,ST-1,4.0,120.0,0.0
T-1070,15/03/2023,CUST-106,P001,ST-2,1.0,300.0,0.0
T-1071,2023-05-31,CUST-177,P004,ST-4,2.0,37.5,0.0
T-1072,2023-05-10,CUST-156,P001,ST-1,1.0,300.0,0.1
T-1073,2023-09-29,CUST-114,P003,ST-2,1.0,120.0,0.2
T-1074,2023-04-05,CUST-159,P002,ST-3,2.0,225.0,0.0
T-1075,2023-02-26,CUST-145,P005,ST-5,4.0,67.5,0.0
T-1076,2023-11-21,CUST-116,P001,ST-4,1.0,300.0,0.0
T-1077,2023-08-02,CUST-131,P005,ST-3,5.0,67.5,0.0
T-1078,2023-06-28,CUST-193,P003,ST-5,2.0,120.0,0.0
T-1079,2023-03-28,CUST-181,P001,ST-4,4.0,300.0,0.2
T-1080,19/01/2023,CUST-105,P004,ST-4,2.0,37.5,0.1
T-1081,2023-07-17,CUST-161,P002,ST-4,4.0,225.0,0.0
T-1082,2023-04-26,CUST-187,P002,ST-5,1.0,225.0,0.1
T-1083,2023-08-26,CUST-116,P003,ST-5,5.0,120.0,0.0
T-1084,2023-04-18,CUST-174,P002,ST-5,5.0,225.0,0.1
T-1085,2023-09-07,CUST-187,P001,ST-1,2.0,300.0,0.0
T-1086,2023-08-31,CUST-124,P002,ST-1,3.0,225.0,0.1
T-1087,2023-07-29,CUST-159,P002,ST-4,3.0,225.0,0.0
T-1088,2023-04-07,CUST-143,P003,ST-2,5.0,120.0,0.0
